letter,Term,Definition,Committee,lastRevision
T,Technical review,"The evaluation conducted by a second qualified individual of reports, notes, data, conclusions, and other documents.","Digital Evidence, Facial Identification, Video/Imaging Technology & Analysis (Digital / Multimedia)",2018-02-23
T,Technical review,"An assessment of the relevance, reliability, and sufficiency of examination methods or procedures, and the reporting of conclusions based on the documentation and materials provided.  Discussion. Technical reviews can involve multiple tasks. If a technical reviewer has been asked to critique aspects of the examiner’s work product, then the technical reviewer shall be qualified in and familiar with those aspects of proper forensic examination in that discipline and, at a minimum, have access to all of the documentation, and if necessary, the evidence that was available to the examiner whose work is being reviewed.  A technical review can serve as an additional evaluation of the various conclusions in the original examiner’s work.  Note 1.  A review to assess the accuracy or inaccuracy of the reported opinion may require an independent examination of the evidence.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Technical reviewer,An employee who is a current or previously qualified analyst in the methodology being reviewed that performs a technical review of analytical results and is not an author of the applicable report.,QIC (FSSB),2018-02-23
T,Technical specification,"Document that prescribes technical requirements to be fulfilled by a product, process or service.",QIC (FSSB),2018-02-23
T,Technical specification,"Document that prescribes technical requirements to be fulfilled by a product, process, or service.",QIC (FSSB),2018-02-23
T,Technical Visit,"Travel for the purpose of obtaining information, knowledge, or training, including interaction with or demonstration by pertinent manufacturers, businesses, and laboratories.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
T,Technician,"A organization employee who performs analytical techniques on forensic samples under the supervision of a qualified analyst. Technicians generally do not interpret data, reach conclusions, or prepare final reports.",QIC (FSSB),2018-02-23
T,Technician,"An individual (however named) who performs basic analytical functions but does not evaluate data, reach conclusions or sign a report for court or investigative purposes.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
T,Technician (Breath Alcohol),"An individual (however named) who performs Breath Alcohol Program functions following established policies and procedures.   Functions may include maintenance, adjustment, calibration, verification, and other program activities.",Toxicology (Chemistry / Instrumental Analysis),2018-02-23
T,Technique,"Application of a scientific principle (e.g. gas chromatography, ultraviolet spectrometry, capillary electrophoresis) that can be used to provide data on the composition of a material. It is unusual to apply a technique directly to a test sample, as extraction and other steps are frequently required. A technique is therefore used in the last step of an analytical method which is usually the end-determination or end-step determination.",QIC (FSSB),2018-02-23
T,Technology,Used to describe the type of analysis performed in the organization.,QIC (FSSB),2018-02-23
T,Technology,Methodology or process to generate results; the methodology or process may have a wide range of applications and uses or may be fairly narrow.,Biology (Biology / DNA),2018-02-23
T,"Technology, DNA","Used to describe the type of forensic DNA analysis performed in the laboratory, such as RFLP, STR, Y-STR, or mitochondrial DNA; this definition is specific to usage in the FBI QAS.",Biology (Biology / DNA),2018-02-23
T,Temperament,The general consistence with which the animal behaves.  Broad classes of temperament appear to be heritable.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
T,Temperature,The measure of the intensity of heat.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Template,"In facial identification, a set of biometric measurement data prepared by a facial recognition (FR) system from a facial image.",Facial Identification (Digital / Multimedia),2018-02-23
T,Template/Template DNA,DNA sample added to the PCR reaction and targeted by the PCR primers; the strand or segment of DNA copied during amplification using the polymerase chain reaction (PCR).,Biology (Biology / DNA),2018-02-23
T,Temporary Interment,"Temporary in-ground storage of human remains during the response to and recovery from a mass fatality incident. This may include the disposition of unidentified or unclaimed remains, bodies having been identified but not having been claimed by the next of kin (NOK), and decedents for whom the NOK does not have the resources to administer final disposition.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
T,Tephra,"A collective term for all clastic volcanic materials that are ejected from a vent during an eruption and transported through the air, including ash (volcanic), blocks (volcanic), cinders, lapilli, scoria, and pumice. Tephra is a general term which, unlike many volcaniclastic terms, does not denote properties of composition, visicularity, or grain size.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Terminal moraine,"An end moraine that marks the farthest advance of a glacier and usually has the form of a massive arcuate or concentric ridge, or complex of ridges, underlain by till and other drift types. See also end moraine, recessional moraine, ground moraine.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Terpenes,An unsaturated hydrocarbon occurring in most essential oils and oleo resins of plants; a normal constituent of wood.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Terrace,"A raised, generally horizontal strip of earth and/or rock constructed along a hill on or nearly on a contour to make land suitable for tillage and to prevent accelerated erosion.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Terrace,"A step-like surface, bordering a stream or shoreline, that represents the former position of a flood plain, lake, or sea shore.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Terrace,An earth embankment constructed across a slope for conducting water from above at a regulated flow to prevent accelerated erosion and to conserve water.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
T,Test,Determination of one or more characteristics according to a procedure.,Chemistry (Chemistry / Instrumental Analysis)QIC (FSSB),2018-02-23
T,Test Impression,An impression made from a known footwear outsole or tire tread used as an aid for comparison purposes.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
T,Test kit,A pre-assembled set of reagents that allows the user to conduct a specific extraction or technique.,QIC (FSSB),2018-02-23
T,Test method,A definitive procedure that produces a test result.,Chemistry (Chemistry / Instrumental Analysis)QIC (FSSB),2018-02-23
T,Test procedure,"Total operation necessary to perform the analysis [e.g. preparation of the specimen or sample, of the reference materials or of the reagents, the use of instruments and of formulas for the calculations (when the test is quantitative), the preparation and use of calibration curves and the determination of the number of replicates].",QIC (FSSB),2018-02-23
